episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
485,0,1,94.16000000000001,9798.399999999996
490,0,4,93.01,9141.399999999998
495,0,4,93.33,9375.399999999996
500,0,3,92.27,8871.4
505,0,3,93.5,9477.399999999996
510,0,1,93.55,9500.399999999996
515,0,0,93.55,9500.399999999996
520,0,1,92.39,8851.400000000001
525,0,6,93.69,9576.399999999996
530,0,5,93.55,9500.399999999996
535,0,1,93.55,9437.399999999996
540,0,1,93.55,9500.399999999996
545,0,0,93.55,9500.399999999996
550,0,2,93.1,9178.399999999998
555,0,2,93.55,9500.399999999996
560,0,0,93.55,9500.399999999996
565,0,0,93.55,9500.399999999996
570,0,0,93.55,9500.399999999996
575,0,1,93.11,9289.399999999996
580,0,1,93.55,9500.399999999996
585,0,0,93.55,9500.399999999996
590,0,0,93.55,9500.399999999996
595,0,0,93.55,9500.399999999996
600,0,0,93.55,9500.399999999996
605,0,1,93.64999999999999,9552.399999999996
610,0,1,93.55,9500.399999999996
615,0,0,93.55,9500.399999999996
620,0,5,92.91,9205.399999999996
625,0,5,93.55,9500.399999999996
630,0,0,93.55,9500.399999999996
635,0,0,93.55,9500.399999999996
640,0,0,93.55,9500.399999999996
645,0,0,93.55,9500.399999999996
650,0,0,93.55,9500.399999999996
655,0,0,93.55,9500.399999999996
660,0,0,93.55,9500.399999999996
665,0,0,93.55,9500.399999999996
670,0,0,93.55,9500.399999999996
675,0,0,93.55,9500.399999999996
680,0,0,93.55,9500.399999999996
685,0,0,93.55,9500.399999999996
690,0,0,93.55,9500.399999999996
695,0,0,93.55,9500.399999999996
700,0,0,93.55,9500.399999999996
705,0,0,93.55,9500.399999999996
710,0,0,93.55,9500.399999999996
715,0,0,93.55,9500.399999999996
720,0,0,93.55,9500.399999999996
725,0,0,93.55,9500.399999999996
730,0,0,93.55,9500.399999999996
735,0,0,93.55,9500.399999999996
740,0,0,93.55,9500.399999999996
745,0,0,93.55,9500.399999999996
750,0,0,93.55,9500.399999999996
755,0,0,93.55,9500.399999999996
760,0,0,93.55,9500.399999999996
765,0,0,93.55,9500.399999999996
770,0,0,93.55,9500.399999999996
775,0,0,93.55,9500.399999999996
780,0,0,93.55,9500.399999999996
785,0,0,93.55,9500.399999999996
790,0,0,93.55,9500.399999999996
795,0,0,93.55,9500.399999999996
800,0,0,93.55,9500.399999999996
805,0,0,93.55,9500.399999999996
810,0,0,93.55,9500.399999999996
815,0,0,93.55,9500.399999999996
820,0,0,93.55,9500.399999999996
825,0,0,93.55,9500.399999999996
830,0,2,92.72,9035.399999999998
835,0,2,93.55,9500.399999999996
840,0,0,93.55,9500.399999999996
845,0,0,93.55,9500.399999999996
850,0,0,93.55,9500.399999999996
855,0,0,93.55,9500.399999999996
860,0,0,93.55,9500.399999999996
865,0,0,93.55,9500.399999999996
870,0,0,93.55,9500.399999999996
875,0,0,93.55,9500.399999999996
880,0,0,93.55,9500.399999999996
885,0,0,93.55,9500.399999999996
890,0,0,93.55,9500.399999999996
895,0,0,93.55,9500.399999999996
900,0,0,93.55,9500.399999999996
905,0,0,93.55,9500.399999999996
910,0,0,93.55,9500.399999999996
915,0,0,93.55,9500.399999999996
920,0,0,93.55,9500.399999999996
925,0,0,93.55,9500.399999999996
930,0,0,93.55,9500.399999999996
935,0,0,93.55,9500.399999999996
940,0,0,93.55,9500.399999999996
945,0,0,93.55,9500.399999999996
950,0,0,93.55,9500.399999999996
955,0,0,93.55,9500.399999999996
960,0,0,93.55,9500.399999999996
965,0,0,93.55,9500.399999999996
970,0,0,93.55,9500.399999999996
975,0,0,93.55,9500.399999999996
980,0,0,93.55,9500.399999999996
985,0,0,93.55,9500.399999999996
990,0,0,93.55,9500.399999999996
995,0,0,93.55,9500.399999999996
1000,0,0,93.55,9500.399999999996
1005,0,146,89.32,4503.4
1010,0,0,89.32,4503.4
1015,0,0,89.32,4503.4
1020,0,0,89.32,4503.4
1025,0,0,89.32,4503.4
1030,0,0,89.32,4503.4
1035,0,0,89.32,4503.4
1040,0,0,89.32,4503.4
1045,0,0,89.32,4503.4
1050,0,0,89.32,4503.4
1055,0,0,89.32,4503.4
1060,0,0,89.32,4503.4
1065,0,0,89.32,4503.4
1070,0,0,89.32,4503.4
1075,0,0,89.32,4503.4
1080,0,0,89.32,4503.4
1085,0,0,89.32,4503.4
