episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
670,9,40,92.65,15169.899999999996
675,6,32,93.24000000000001,15194.899999999998
680,3,13,92.05,14032.899999999992
685,4,13,92.65,14670.899999999996
690,6,12,92.97,14856.899999999996
695,8,5,92.8,14659.899999999996
700,5,1,92.72999999999999,14552.899999999996
705,5,1,92.63,14579.899999999996
710,4,3,92.87,14828.899999999996
715,4,6,93.33,15262.899999999998
720,2,9,92.39,14375.899999999996
725,4,8,92.89,14881.899999999998
730,2,3,92.93,14794.899999999996
735,3,2,93.0,14869.899999999996
740,2,7,92.27,14264.899999999994
745,0,0,92.27,14264.899999999994
750,3,6,93.85,15920.900000000001
755,5,8,92.68,14899.899999999996
760,7,4,92.71000000000001,14903.899999999996
765,4,4,92.8,14928.899999999996
770,3,6,92.67,14860.899999999998
775,2,5,93.55,15616.899999999998
780,5,3,92.96000000000001,15033.899999999996
785,3,3,93.67,15719.899999999998
790,3,3,92.84,14900.899999999996
795,1,3,93.23,15257.899999999996
800,4,3,92.56,14682.899999999996
805,5,3,92.86,14845.899999999996
810,2,3,92.77,14810.899999999996
815,1,3,92.85000000000001,14839.899999999996
820,2,3,92.72,14720.899999999996
825,2,3,93.31,15299.899999999996
830,1,3,92.51,14524.899999999996
835,3,3,93.43,15432.899999999998
840,2,4,92.75999999999999,14823.899999999998
845,2,3,93.76,15838.9
850,7,8,92.56,14491.899999999996
855,2,3,92.96000000000001,14872.899999999998
860,1,3,92.53,14468.899999999998
865,2,3,92.91,14839.899999999996
870,5,5,92.61,14615.899999999996
875,5,4,92.81,14807.899999999996
880,3,3,93.66,15674.899999999998
885,2,3,93.22,15177.899999999998
890,1,3,92.78,14781.899999999996
895,2,3,92.81,14807.899999999996
900,1,3,92.71,14735.899999999996
905,2,3,93.22,15177.899999999998
910,2,3,92.71,14735.899999999996
915,1,3,92.81,14807.899999999996
920,3,3,92.67,14668.899999999996
925,2,7,93.11,15152.899999999998
930,2,3,92.91,14972.899999999996
935,3,4,92.81,14825.899999999996
940,2,3,92.66,14775.899999999996
945,2,3,92.81,14825.899999999996
950,2,3,92.48,14494.899999999996
955,2,3,92.83,14809.899999999996
960,3,3,93.5,15574.899999999998
965,4,7,92.83,14830.899999999996
970,3,3,92.8,14881.899999999996
975,4,3,92.71,14742.899999999996
980,1,3,93.95,16057.899999999998
985,2,3,92.64,14676.899999999996
990,3,4,92.72,14777.899999999996
995,2,3,92.51,14531.899999999996
1000,3,3,92.57,14638.899999999996
1005,1,3,92.87,14882.899999999996
1010,0,0,92.87,14882.899999999996
1015,0,0,92.87,14882.899999999996
1020,0,0,92.87,14882.899999999996
1025,0,0,92.87,14882.899999999996
1030,0,0,92.87,14882.899999999996
1035,0,0,92.87,14882.899999999996
1040,0,0,92.87,14882.899999999996
1045,0,0,92.87,14882.899999999996
1050,0,0,92.87,14882.899999999996
1055,0,0,92.87,14882.899999999996
1060,0,0,92.87,14882.899999999996
